filePath,SWC Categories
DAppSCAN-source/contracts/Hacken-Kingdom Raids/kr-nft-6dafe413dd90e5b1c1e85a5b8ec6c8fc71fd87af/kr-nft-6dafe413dd90e5b1c1e85a5b8ec6c8fc71fd87af/contracts/Summon.sol,SWC-100-Function Default Visibility
DAppSCAN-source/contracts/Hacken-Kingdom Raids/kr-nft-6dafe413dd90e5b1c1e85a5b8ec6c8fc71fd87af/kr-nft-6dafe413dd90e5b1c1e85a5b8ec6c8fc71fd87af/contracts/Hero/Hero.sol,SWC-100-Function Default Visibility
DAppSCAN-source/contracts/Iosiro-Synthetix Alkaid Release Smart Contract Audit/synthetix-7d4e868c295bb432640c0478edfd185ab8932785/contracts/ExchangeRatesWithDexPricing.sol,SWC-128-DoS With Block Gas Limit
DAppSCAN-source/contracts/PeckShield-Hegic_HardCore_Beta/hegic-hardcore-beta-e22e6f67f1ce99e1317fc52fa325b496464a95bd/contracts/Pool/HegicOperationalTreasury.sol,SWC-101-Integer Overflow and Underflow
DAppSCAN-source/contracts/consensys-Definer/defi-saving-880e9aaa883b4d9b68ed9ff3c47e9347345526cc/contracts/Accounts.sol,SWC-128-DoS With Block Gas Limit
DAppSCAN-source/contracts/QuillAudits-coalichain/CoaliSC-3f0920d650467279f7ceee08776bd74ecadd3237/Main.sol,"SWC-102-Outdated Compiler Version, SWC-107-Reentrancy"
DAppSCAN-source/contracts/QuillAudits-Chronic Token Smart Contract/ChronicToken-bdc08c623c9b3db912b94a2f3271afd9ad1243ee/chronicToken.sol,"SWC-128-DoS With Block Gas Limit, SWC-102-Outdated Compiler Version"
DAppSCAN-source/contracts/Iosiro-AMO Crowdsale Smart Contract Audit/AMO-Contracts-26b5b22f50e39cd9fc3a6df99aff83f5a74e89d3/AMOCoinSale.sol,SWC-116-Block values as a proxy for time
DAppSCAN-source/contracts/QuillAudits-1inch-Limit Order Protocol/limit-order-protocol-a14bde6a260458de5083cee117d734221e1cbc05/contracts/LimitOrderProtocol.sol,"SWC-128-DoS With Block Gas Limit, SWC-107-Reentrancy"
DAppSCAN-source/contracts/QuillAudits-1inch-Limit Order Protocol/limit-order-protocol-a14bde6a260458de5083cee117d734221e1cbc05/contracts/helpers/ERC721Proxy.sol,SWC-123-Requirement Violation
DAppSCAN-source/contracts/PepperSec-POA-Network-Bridge/tokenbridge-contracts-2bf70c7e9fd42968aec2dc352017618907834401/contracts/upgradeable_contracts/BridgeValidators.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/PepperSec-POA-Network-Bridge/tokenbridge-contracts-2bf70c7e9fd42968aec2dc352017618907834401/contracts/upgradeable_contracts/native_to_erc20/HomeBridgeNativeToErc.sol,SWC-113-DoS with Failed Call
DAppSCAN-source/contracts/Smartdec-SONM Smart Contracts Security Analysis/core-8b349d25214c6c600f4724e3e9ed3dbc57f9ae63/blockchain/source/contracts/MultiSigWallet.sol,SWC-128-DoS With Block Gas Limit
DAppSCAN-source/contracts/QuillAudits-Lido-stETH Price Oracle/curve-merkle-oracle-ae093b308999a564ed3f23d52c6c5dce946dbfa7/contracts/MerklePatriciaProofVerifier.sol,SWC-131-Presence of unused variables
DAppSCAN-source/contracts/Blockchain Labs NZ-Beam/beam-11b086ca757f1612cd67c1bf6d7ab470591676b1/contracts/BeamToken.sol,SWC-129-Typographical Error
DAppSCAN-source/contracts/Callisto_Network-McAfeeDex Security Audit/MCAFEEDEXCONTRACT-5db8389ce23ce11fb273c9573772287aa75ce43b/contract.sol,"SWC-107-Reentrancy, SWC-111-Use of Deprecated Solidity Functions, SWC-135-Code With No Effects"
DAppSCAN-source/contracts/QuillAudits-Checkdot Smart Contract _new/CheckDotPrivateSaleContract-84237ce510704d2761d4b88167686be2ac5ad807/contracts/CheckDotPrivateSale.sol,SWC-103-Floating Pragma
DAppSCAN-source/contracts/SlowMist-DODO-MiningV3 and NFT Smart Contract Security Audit Report/contractV2-453e323af65f0a666f7d9c2dfd01b9d32ea19533/contracts/DODODrops/DODODropsV2/DODODrops.sol,SWC-120-Weak Sources of Randomness from Chain Attributes
DAppSCAN-source/contracts/SlowMist-DODO-MiningV3 and NFT Smart Contract Security Audit Report/contractV2-c7202eeae724783f572232a1d80b6b9082ee90b1/contracts/DODOToken/DODOMineV3/BaseMine.sol,SWC-128-DoS With Block Gas Limit
